IdList,name,Superkingdom
1667,Arthrobacter sp.,Bacteria
1764,Mycobacterium avium,Bacteria
1783,Mycobacterium scrofulaceum,Bacteria
1787,Mycobacterium szulgai,Bacteria
1788,Mycolicibacter terrae,Bacteria
1773,Mycobacterium tuberculosis,Bacteria
358,Agrobacterium tumefaciens,Bacteria
554,Pectobacterium carotovorum,Bacteria
2035,Curtobacterium flaccumfaciens,Bacteria
27357,Colletotrichum acutatum,Eukaryota
8005,Electrophorus electricus,Eukaryota
9796,Equus caballus,Eukaryota
5759,Entamoeba histolytica,Eukaryota
37124,Chikungunya virus,Viruses
287,Pseudomonas aeruginosa,Bacteria
64320,Zika virus,Viruses
3052230,Hepacivirus hominis,Viruses
1681,Bifidobacterium bifidum,Bacteria
1685,Bifidobacterium breve,Bacteria
216816,Bifidobacterium longum,Bacteria
33905,Bifidobacterium thermophilum,Bacteria
1902,Streptomyces coelicolor,Bacteria
556,Dickeya chrysanthemi,Bacteria
132473,Streptomyces alboniger,Bacteria
42234,Streptomyces acidiscabies,Bacteria
1930,Streptomyces scabiei,Bacteria
5518,Fusarium graminearum,Eukaryota
1353,Enterococcus gallinarum,Bacteria
68766,Fusobacterium sp.,Bacteria
28126,Prevotella buccae,Bacteria
28128,Prevotella corporis,Bacteria
28134,Hoylesella oralis,Bacteria
29317,Actinomyces sp.,Bacteria
1314,Streptococcus pyogenes,Bacteria
1262,Peptostreptococcus sp.,Bacteria
1406,Paenibacillus polymyxa,Bacteria
820,Bacteroides uniformis,Bacteria
47678,Bacteroides caccae,Bacteria
46506,Bacteroides stercoris,Bacteria
46503,Parabacteroides merdae,Bacteria
29363,Clostridium paraputrificum,Bacteria
1559,Clostridium tertium,Bacteria
1743,Propionibacterium,Bacteria
29523,Bacteroides sp.,Bacteria
850,Fusobacterium mortiferum,Bacteria
856,Fusobacterium varium,Bacteria
28123,Porphyromonas asaccharolytica,Bacteria
1659,Actinomyces israelii,Bacteria
52773,Schaalia meyeri,Bacteria
1655,Actinomyces naeslundii,Bacteria
84112,Eggerthella lenta,Bacteria
142586,Eubacterium sp.,Bacteria
1542,Clostridium novyi,Bacteria
1529,Clostridium cadaveris,Bacteria
1505,Paeniclostridium sordellii,Bacteria
1490,Paraclostridium bifermentans,Bacteria
1736,Eubacterium limosum,Bacteria
1717,Corynebacterium diphtheriae,Bacteria
1336,Streptococcus equi,Bacteria
83554,Chlamydia psittaci,Bacteria
28114,Porphyromonas levii,Bacteria
33036,Anaerococcus tetradius,Bacteria
1531,Enterocloster clostridioformis,Bacteria
28133,Prevotella nigrescens,Bacteria
28129,Prevotella denticola,Bacteria
169292,Corynebacterium aurimucosum,Bacteria
38284,Corynebacterium accolens,Bacteria
146827,Corynebacterium simulans,Bacteria
1334,Streptococcus dysgalactiae,Bacteria
322095,Porphyromonas somerae,Bacteria
1527,Anaerocolumna aminovalerica,Bacteria
1539,Clostridium malenominatum,Bacteria
29370,Lacrimispora sphenoides,Bacteria
33037,Anaerococcus vaginalis,Bacteria
29465,Veillonella,Bacteria
74426,Collinsella aerofaciens,Bacteria
1582,Lacticaseibacillus casei,Bacteria
47715,Lacticaseibacillus rhamnosus,Bacteria
1579,Lactobacillus acidophilus,Bacteria
1613,Limosilactobacillus fermentum,Bacteria
1590,Lactiplantibacillus plantarum,Bacteria
1598,Limosilactobacillus reuteri,Bacteria
1018,Capnocytophaga ochracea,Bacteria
1296,Mammaliicoccus sciuri,Bacteria
1285,Staphylococcus intermedius,Bacteria
41978,Ruminococcus sp.,Bacteria
82135,Fannyhessea vaginae,Bacteria
